Entity,Code,Year,Oil consumption - TWh
Africa,,1965,3.421.337
Africa,,1966,370.45
Africa,,1967,36.919.354
Africa,,1968,3.903.657
Africa,,1969,39.815.326
Africa,,1970,43.502.704
Africa,,1971,4.743.054
Africa,,1972,5.107.296
Africa,,1973,54.980.396
Africa,,1974,5.697.385
Africa,,1975,597.671
Africa,,1976,6.525.852
Africa,,1977,6.951.952
Africa,,1978,732.366
Africa,,1979,7.711.747
Africa,,1980,81.815.454
Africa,,1981,8.854.927
Africa,,1982,926.532
Africa,,1983,9.647.042
Africa,,1984,9.820.362
Africa,,1985,10.073.241
Africa,,1986,98.445.636
Africa,,1987,1038.56
Africa,,1988,10.817.913
Africa,,1989,11.175.557
Africa,,1990,11.357.396
Africa,,1991,11.416.711
Africa,,1992,11.639.397
Africa,,1993,11.758.846
Africa,,1994,12.139.683
Africa,,1995,12.558.745
Africa,,1996,1.283.199
Africa,,1997,13.236.312
Africa,,1998,13.549.565
Africa,,1999,14.044.688
Africa,,2000,1.407.994
Africa,,2001,14.228.947
Africa,,2002,14.567.892
Africa,,2003,15.011.073
Africa,,2004,15.713.392
Africa,,2005,16.410.862
Africa,,2006,16.571.124
Africa,,2007,17.199.576
Africa,,2008,18.067.784
Africa,,2009,18.710.247
Africa,,2010,19.500.488
Africa,,2011,19.163.331
Africa,,2012,20.366.793
Africa,,2013,21.108.115
Africa,,2014,2.132.531
Africa,,2015,2.192.255
Africa,,2016,22.077.068
Africa,,2017,22.336.814
Africa,,2018,22.559.873
Africa,,2019,22.749.304
Africa,,2020,20.245.469
Africa,,2021,2.208.283
Africa,,2022,2.329.607
Africa (EI),,1965,3.421.337
Africa (EI),,1966,370.45
Africa (EI),,1967,3.691.935
Africa (EI),,1968,3.903.657
Africa (EI),,1969,39.815.326
Africa (EI),,1970,43.502.707
Africa (EI),,1971,47.430.536
Africa (EI),,1972,5.107.296
Africa (EI),,1973,549.804
Africa (EI),,1974,5.697.385
Africa (EI),,1975,5.976.711
Africa (EI),,1976,6.525.852
Africa (EI),,1977,6.951.952
Africa (EI),,1978,732.366
Africa (EI),,1979,7.711.747
Africa (EI),,1980,81.815.454
Africa (EI),,1981,8.854.927
Africa (EI),,1982,9.265.319
Africa (EI),,1983,9.647.042
Africa (EI),,1984,98.203.625
Africa (EI),,1985,10.073.241
Africa (EI),,1986,98.445.636
Africa (EI),,1987,1038.56
Africa (EI),,1988,10.817.911
Africa (EI),,1989,11.175.557
Africa (EI),,1990,11.357.397
Africa (EI),,1991,11.416.711
Africa (EI),,1992,11.639.397
Africa (EI),,1993,11.758.846
Africa (EI),,1994,12.139.683
Africa (EI),,1995,12.558.746
Africa (EI),,1996,1.283.199
Africa (EI),,1997,13.236.312
Africa (EI),,1998,13.549.564
Africa (EI),,1999,14.044.688
Africa (EI),,2000,1.407.994
Africa (EI),,2001,14.228.947
Africa (EI),,2002,14.567.892
Africa (EI),,2003,15.011.073
Africa (EI),,2004,15.713.392
Africa (EI),,2005,16.410.863
Africa (EI),,2006,16.571.124
Africa (EI),,2007,17.199.576
Africa (EI),,2008,18.067.784
Africa (EI),,2009,18.710.248
Africa (EI),,2010,19.500.487
Africa (EI),,2011,19.163.333
Africa (EI),,2012,20.366.794
Africa (EI),,2013,21.108.115
Africa (EI),,2014,2.132.531
Africa (EI),,2015,2.192.255
Africa (EI),,2016,22.077.068
Africa (EI),,2017,22.336.814
Africa (EI),,2018,22.559.873
Africa (EI),,2019,22.749.304
Africa (EI),,2020,2.024.547
Africa (EI),,2021,22.082.827
Africa (EI),,2022,23.296.067
Algeria,DZA,1965,154.052.515
Algeria,DZA,1966,20.272.705
Algeria,DZA,1967,1.894.203
Algeria,DZA,1968,20.167.301
Algeria,DZA,1969,21.305.931
Algeria,DZA,1970,2.434.768
Algeria,DZA,1971,27.440.048
Algeria,DZA,1972,30.121.414
Algeria,DZA,1973,32.900.345
Algeria,DZA,1974,3.654.384
Algeria,DZA,1975,4.063.067
Algeria,DZA,1976,4.671.773
Algeria,DZA,1977,5.280.649
Algeria,DZA,1978,54.607.944
Algeria,DZA,1979,6.531.862
Algeria,DZA,1980,6.620.243
Algeria,DZA,1981,71.323.074
Algeria,DZA,1982,7.557.342
Algeria,DZA,1983,8.489.242
Algeria,DZA,1984,9.400.201
Algeria,DZA,1985,965.538
Algeria,DZA,1986,9.802.125
Algeria,DZA,1987,9.910.052
Algeria,DZA,1988,991.726
Algeria,DZA,1989,10.393.665
Algeria,DZA,1990,111.811.615
Algeria,DZA,1991,110.627.785
Algeria,DZA,1992,111.292.656
Algeria,DZA,1993,110.754.875
Algeria,DZA,1994,10.605.089
Algeria,DZA,1995,10.314.228
Algeria,DZA,1996,9.842.207
Algeria,DZA,1997,9.764.342
Algeria,DZA,1998,10.065.875
Algeria,DZA,1999,98.898.346
Algeria,DZA,2000,10.313.248
Algeria,DZA,2001,10.677.533
Algeria,DZA,2002,118.397.224
Algeria,DZA,2003,12.317.411
Algeria,DZA,2004,12.874.683
Algeria,DZA,2005,13.421.338
Algeria,DZA,2006,13.984.572
Algeria,DZA,2007,156.39
Algeria,DZA,2008,1.699.159
Algeria,DZA,2009,18.013.441
Algeria,DZA,2010,18.161.191
Algeria,DZA,2011,19.222.765
Algeria,DZA,2012,20.439.526
Algeria,DZA,2013,21.357.639
Algeria,DZA,2014,22.192.514
Algeria,DZA,2015,23.614.848
Algeria,DZA,2016,22.956.384
Algeria,DZA,2017,22.551.212
Algeria,DZA,2018,2.277.859
Algeria,DZA,2019,2.369.513
Algeria,DZA,2020,21.192.543
Algeria,DZA,2021,22.115.904
Algeria,DZA,2022,23.861.775
Argentina,ARG,1965,2.752.159
Argentina,ARG,1966,2.838.763
Argentina,ARG,1967,29.073.495
Argentina,ARG,1968,2.967.972
Argentina,ARG,1969,30.801.144
Argentina,ARG,1970,2.784.355
Argentina,ARG,1971,2.965.011
Argentina,ARG,1972,2.951.862
Argentina,ARG,1973,29.719.864
Argentina,ARG,1974,297.124
Argentina,ARG,1975,28.082.806
Argentina,ARG,1976,2.902.354
Argentina,ARG,1977,3.056.577
Argentina,ARG,1978,29.730.927
Argentina,ARG,1979,3.198.096
Argentina,ARG,1980,2.970.181
Argentina,ARG,1981,2.785.258
Argentina,ARG,1982,26.501.834
Argentina,ARG,1983,26.831.186
Argentina,ARG,1984,25.545.346
Argentina,ARG,1985,23.750.685
Argentina,ARG,1986,24.974.571
Argentina,ARG,1987,2.665.798
Argentina,ARG,1988,26.836.047
Argentina,ARG,1989,24.634.749
Argentina,ARG,1990,22.997.305
Argentina,ARG,1991,24.028.345
Argentina,ARG,1992,25.270.636
Argentina,ARG,1993,24.778.004
Argentina,ARG,1994,26.149.545
Argentina,ARG,1995,25.954.364
Argentina,ARG,1996,25.982.446
Argentina,ARG,1997,27.529.974
Argentina,ARG,1998,28.328.546
Argentina,ARG,1999,28.710.687
Argentina,ARG,2000,26.493.796
Argentina,ARG,2001,24.534.851
Argentina,ARG,2002,23.286.867
Argentina,ARG,2003,2.375.023
Argentina,ARG,2004,25.468.643
Argentina,ARG,2005,2.666.645
Argentina,ARG,2006,281.325
Argentina,ARG,2007,3.126.087
Argentina,ARG,2008,31.619.568
Argentina,ARG,2009,30.202.786
Argentina,ARG,2010,32.743.576
Argentina,ARG,2011,33.991.183
Argentina,ARG,2012,36.051.144
Argentina,ARG,2013,38.257.983
Argentina,ARG,2014,3.799.156
Argentina,ARG,2015,38.781.003
Argentina,ARG,2016,375.905
Argentina,ARG,2017,37.147.742
Argentina,ARG,2018,3.546.256
Argentina,ARG,2019,32.183.243
Argentina,ARG,2020,2.881.951
Argentina,ARG,2021,35.809.964
Argentina,ARG,2022,38.278.323
Asia,,1965,22.332.266
Asia,,1966,25.065.833
Asia,,1967,28.792.722
Asia,,1968,3.251.113
Asia,,1969,37.456.511
Asia,,1970,42.958.433
Asia,,1971,4.780.934
Asia,,1972,5.167.581
Asia,,1973,5.873.794
Asia,,1974,58.641.836
Asia,,1975,5.818.649
Asia,,1976,6.276.091
Asia,,1977,6.688.033
Asia,,1978,71.145.605
Asia,,1979,7.377.731
Asia,,1980,69.671.045
Asia,,1981,69.001.816
Asia,,1982,68.694.585
Asia,,1983,71.218.887
Asia,,1984,74.732.397
Asia,,1985,8.199.495
Asia,,1986,8.389.682
Asia,,1987,8.676.147
Asia,,1988,9.309.089
Asia,,1989,9.748.385
Asia,,1990,10.312.535
Asia,,1991,106.712.705
Asia,,1992,11.284.275
Asia,,1993,11.734.465
Asia,,1994,12.342.791
Asia,,1995,13.031.792
Asia,,1996,13.589.954
Asia,,1997,14.236.678
Asia,,1998,13.955.824
Asia,,1999,14.393.501
Asia,,2000,14.896.244
Asia,,2001,15.049.312
Asia,,2002,15.435.635
Asia,,2003,16.058.786
Asia,,2004,17.038.521
Asia,,2005,17272.64
Asia,,2006,17.742.281
Asia,,2007,18258.92
Asia,,2008,18.472.574
Asia,,2009,18.580.072
Asia,,2010,19.681.787
Asia,,2011,20.235.803
Asia,,2012,21138.14
Asia,,2013,21.521.123
Asia,,2014,21.877.574
Asia,,2015,22.727.037
Asia,,2016,23.561.188
Asia,,2017,24200.54
Asia,,2018,24.577.879
Asia,,2019,24.801.555
Asia,,2020,23.380.932
Asia,,2021,24.196.814
Asia,,2022,24.734.361
Asia Pacific (EI),,1965,19.324.469
Asia Pacific (EI),,1966,2.202.858
Asia Pacific (EI),,1967,25.668.086
Asia Pacific (EI),,1968,2.932.971
Asia Pacific (EI),,1969,34.064.736
Asia Pacific (EI),,1970,39.523.787
Asia Pacific (EI),,1971,4.395.882
Asia Pacific (EI),,1972,47.377.554
Asia Pacific (EI),,1973,5.385.241
Asia Pacific (EI),,1974,53.496.074
Asia Pacific (EI),,1975,53.185.015
Asia Pacific (EI),,1976,56.601.616
Asia Pacific (EI),,1977,59.510.815
Asia Pacific (EI),,1978,6.319.402
Asia Pacific (EI),,1979,6.476.335
Asia Pacific (EI),,1980,6.095.819
Asia Pacific (EI),,1981,59.217.163
Asia Pacific (EI),,1982,57.609.834
Asia Pacific (EI),,1983,58.034.727
Asia Pacific (EI),,1984,60.339.995
Asia Pacific (EI),,1985,5.979.184
Asia Pacific (EI),,1986,6.186.204
Asia Pacific (EI),,1987,6385.13
Asia Pacific (EI),,1988,69.374.404
Asia Pacific (EI),,1989,73.639.985
Asia Pacific (EI),,1990,7.804.313
Asia Pacific (EI),,1991,8.133.576
Asia Pacific (EI),,1992,8.680.513
Asia Pacific (EI),,1993,9061.39
Asia Pacific (EI),,1994,9.573.766
Asia Pacific (EI),,1995,10.302.873
Asia Pacific (EI),,1996,10.831.133
Asia Pacific (EI),,1997,11.361.474
Asia Pacific (EI),,1998,11.105.434
Asia Pacific (EI),,1999,11.580.712
Asia Pacific (EI),,2000,11924.38
Asia Pacific (EI),,2001,12.013.425
Asia Pacific (EI),,2002,12.311.878
Asia Pacific (EI),,2003,12.819.427
Asia Pacific (EI),,2004,13.587.393
Asia Pacific (EI),,2005,13.647.789
Asia Pacific (EI),,2006,13.941.678
Asia Pacific (EI),,2007,14.386.812
Asia Pacific (EI),,2008,14.357.999
Asia Pacific (EI),,2009,14.449.372
Asia Pacific (EI),,2010,15.408.539
Asia Pacific (EI),,2011,15.798.793
Asia Pacific (EI),,2012,16.505.025
Asia Pacific (EI),,2013,16733.52
Asia Pacific (EI),,2014,16.972.854
Asia Pacific (EI),,2015,17.751.588
Asia Pacific (EI),,2016,18426.33
Asia Pacific (EI),,2017,19.018.496
Asia Pacific (EI),,2018,19.477.766
Asia Pacific (EI),,2019,19.818.768
Asia Pacific (EI),,2020,18.734.799
Asia Pacific (EI),,2021,19.268.475
Asia Pacific (EI),,2022,19.337.424
Australia,AUS,1965,20.001.936
Australia,AUS,1966,21.404.755
Australia,AUS,1967,23.438.776
Australia,AUS,1968,25.528.499
Australia,AUS,1969,26.244.812
Australia,AUS,1970,2.901.954
Australia,AUS,1971,30.554.456
Australia,AUS,1972,31.103.336
Australia,AUS,1973,33.189.294
Australia,AUS,1974,35.173.514
Australia,AUS,1975,3.481.045
Australia,AUS,1976,35.582.147
Australia,AUS,1977,37.260.074
Australia,AUS,1978,3.809.467
Australia,AUS,1979,3.859.148
Australia,AUS,1980,3.677.676
Australia,AUS,1981,3.624.183
Australia,AUS,1982,35.684.915
Australia,AUS,1983,32.008.347
Australia,AUS,1984,3.309.789
Australia,AUS,1985,3.328.008
Australia,AUS,1986,32.814.703
Australia,AUS,1987,33.666.992
Australia,AUS,1988,3.519.731
Australia,AUS,1989,36.651.617
Australia,AUS,1990,37.488.458
Australia,AUS,1991,36.262.082
Australia,AUS,1992,37.054.694
Australia,AUS,1993,3.820.519
Australia,AUS,1994,39.558.917
Australia,AUS,1995,4.277.775
Australia,AUS,1996,43.901.538
Australia,AUS,1997,44.605.783
Australia,AUS,1998,4.459.702
Australia,AUS,1999,45.615.396
Australia,AUS,2000,45.598.157
Australia,AUS,2001,45.708.533
Australia,AUS,2002,4.619.748
Australia,AUS,2003,46.025.992
Australia,AUS,2004,47.129.572
Australia,AUS,2005,47.870.187
Australia,AUS,2006,49.364.178
Australia,AUS,2007,5.062.703
Australia,AUS,2008,5.127.159
Australia,AUS,2009,50.414.078
Australia,AUS,2010,51.930.676
Australia,AUS,2011,5.470.603
Australia,AUS,2012,56.141.907
Australia,AUS,2013,57.803.705
Australia,AUS,2014,5.754.282
Australia,AUS,2015,5.705.786
Australia,AUS,2016,571.723
Australia,AUS,2017,5.995.797
Australia,AUS,2018,6.101.112
Australia,AUS,2019,60.419.446
Australia,AUS,2020,5.221.557
Australia,AUS,2021,5.356.966
Australia,AUS,2022,57.404.034
Austria,AUT,1965,6.529.748
Austria,AUT,1966,7.178.886
Austria,AUT,1967,7.654.811
Austria,AUT,1968,88.466.064
Austria,AUT,1969,9.722.599
Austria,AUT,1970,10.704.365
Austria,AUT,1971,119.607.025
Austria,AUT,1972,12.912.288
Austria,AUT,1973,13.992.781
Austria,AUT,1974,12.522.768
Austria,AUT,1975,12.655.925
Austria,AUT,1976,13.741.133
Austria,AUT,1977,13.158.653
Austria,AUT,1978,14.156.969
Austria,AUT,1979,14.740.875
Austria,AUT,1980,14.388.745
Austria,AUT,1981,13.063.089
Austria,AUT,1982,12.390.079
Austria,AUT,1983,12.007.978
Austria,AUT,1984,11.679.846
Austria,AUT,1985,116.985.916
Austria,AUT,1986,12.321.829
Austria,AUT,1987,126.860.344
Austria,AUT,1988,12.597.797
Austria,AUT,1989,124.222.206
Austria,AUT,1990,12.869.968
Austria,AUT,1991,1.389.047
Austria,AUT,1992,1.352.269
Austria,AUT,1993,1.363.634
Austria,AUT,1994,135.236
Austria,AUT,1995,13.486.182
Austria,AUT,1996,13.953.622
Austria,AUT,1997,14.173.091
Austria,AUT,1998,14.717.671
Austria,AUT,1999,14.465.129
Austria,AUT,2000,14.174.934
Austria,AUT,2001,15.368.556
Austria,AUT,2002,15.681.978
Austria,AUT,2003,16.993.642
Austria,AUT,2004,16.532.832
Austria,AUT,2005,16.462.627
Austria,AUT,2006,16.450.961
Austria,AUT,2007,15.465.794
Austria,AUT,2008,15.321.024
Austria,AUT,2009,14.544.965
Austria,AUT,2010,15.191.782
Austria,AUT,2011,14.439.825
Austria,AUT,2012,14.186.986
Austria,AUT,2013,14.601.463
Austria,AUT,2014,14.000.055
Austria,AUT,2015,13.895.682
Austria,AUT,2016,14.346.887
Austria,AUT,2017,14.584.715
Austria,AUT,2018,14.817.715
Austria,AUT,2019,15.358.403
Austria,AUT,2020,13.363.222
Austria,AUT,2021,13.791.971
Austria,AUT,2022,13.447.852
Azerbaijan,AZE,1985,9.718.555
Azerbaijan,AZE,1986,101.817.375
Azerbaijan,AZE,1987,95.826.904
Azerbaijan,AZE,1988,9.814.325
Azerbaijan,AZE,1989,9.570.122
Azerbaijan,AZE,1990,10.039.482
Azerbaijan,AZE,1991,96.801.125
Azerbaijan,AZE,1992,94.319.466
Azerbaijan,AZE,1993,94.055.405
Azerbaijan,AZE,1994,8.615.903
Azerbaijan,AZE,1995,776.772
Azerbaijan,AZE,1996,6.977.202
Azerbaijan,AZE,1997,6.640.268
Azerbaijan,AZE,1998,6.987.349
Azerbaijan,AZE,1999,67.245.476
Azerbaijan,AZE,2000,7.469.056
Azerbaijan,AZE,2001,47.594.116
Azerbaijan,AZE,2002,436.981
Azerbaijan,AZE,2003,50.912.304
Azerbaijan,AZE,2004,545.731
Azerbaijan,AZE,2005,63.798.508
Azerbaijan,AZE,2006,57.112.576
Azerbaijan,AZE,2007,56.478.565
Azerbaijan,AZE,2008,45.567.757
Azerbaijan,AZE,2009,38.535.336
Azerbaijan,AZE,2010,37.745.888
Azerbaijan,AZE,2011,49.827.885
Azerbaijan,AZE,2012,52.365.967
Azerbaijan,AZE,2013,56.155.495
Azerbaijan,AZE,2014,54.906.097
Azerbaijan,AZE,2015,5.577.986
Azerbaijan,AZE,2016,5.548.961
Azerbaijan,AZE,2017,56.060.436
Azerbaijan,AZE,2018,5.812.385
Azerbaijan,AZE,2019,5.682.018
Azerbaijan,AZE,2020,5.593.217
Azerbaijan,AZE,2021,6.347.196
Azerbaijan,AZE,2022,6.831.462
Bangladesh,BGD,1971,8.135.291
Bangladesh,BGD,1972,9.919.018
Bangladesh,BGD,1973,11.208.105
Bangladesh,BGD,1974,11.659.564
Bangladesh,BGD,1975,13.631.795
Bangladesh,BGD,1976,14.748.875
Bangladesh,BGD,1977,14.522.806
Bangladesh,BGD,1978,15.460.121
Bangladesh,BGD,1979,17.112.335
Bangladesh,BGD,1980,19.291.002
Bangladesh,BGD,1981,1.989.294
Bangladesh,BGD,1982,1.962.132
Bangladesh,BGD,1983,17.547.495
Bangladesh,BGD,1984,17.682.053
Bangladesh,BGD,1985,19.738.764
Bangladesh,BGD,1986,21.275.486
Bangladesh,BGD,1987,20.945.486
Bangladesh,BGD,1988,20.984.262
Bangladesh,BGD,1989,22.941.954
Bangladesh,BGD,1990,22.227.821
Bangladesh,BGD,1991,20.622.862
Bangladesh,BGD,1992,23.004.263
Bangladesh,BGD,1993,25.769.167
Bangladesh,BGD,1994,2.685.683
Bangladesh,BGD,1995,34.853.485
Bangladesh,BGD,1996,3.560.648
Bangladesh,BGD,1997,40.876.934
Bangladesh,BGD,1998,45.055.756
Bangladesh,BGD,1999,4.018.385
Bangladesh,BGD,2000,39.487.724
Bangladesh,BGD,2001,47.166.737
Bangladesh,BGD,2002,42.876.194
Bangladesh,BGD,2003,4.389.366
Bangladesh,BGD,2004,45.443.573
Bangladesh,BGD,2005,46.511.356
Bangladesh,BGD,2006,46.740.562
Bangladesh,BGD,2007,44.304.432
Bangladesh,BGD,2008,44.908.768
Bangladesh,BGD,2009,41.343.945
Bangladesh,BGD,2010,46.801.716
Bangladesh,BGD,2011,6.001.977
Bangladesh,BGD,2012,68.356.895
Bangladesh,BGD,2013,7.005.513
Bangladesh,BGD,2014,76.690.025
Bangladesh,BGD,2015,9.307.488
Bangladesh,BGD,2016,9.546.817
Bangladesh,BGD,2017,10.904.934
Bangladesh,BGD,2018,12.459.175
Bangladesh,BGD,2019,12.223.061
Bangladesh,BGD,2020,10.268.444
Bangladesh,BGD,2021,12.785.736
Bangladesh,BGD,2022,15.281.989
Belarus,BLR,1985,29.634.033
Belarus,BLR,1986,3.501.186
Belarus,BLR,1987,3.463.062
Belarus,BLR,1988,33.546.915
Belarus,BLR,1989,3.141.269
Belarus,BLR,1990,3.118.781
Belarus,BLR,1991,30.603.107
Belarus,BLR,1992,22.637.694
Belarus,BLR,1993,17.443.303
Belarus,BLR,1994,14.250.797
Belarus,BLR,1995,1.243.167
Belarus,BLR,1996,12.227.396
Belarus,BLR,1997,10.704.149
Belarus,BLR,1998,101.113.304
Belarus,BLR,1999,9.249.213
Belarus,BLR,2000,91.472.496
Belarus,BLR,2001,88.497.795
Belarus,BLR,2002,9.317.626
Belarus,BLR,2003,9.432.166
Belarus,BLR,2004,9.241.301
Belarus,BLR,2005,86.037.895
Belarus,BLR,2006,10.094.521
Belarus,BLR,2007,91.831.825
Belarus,BLR,2008,9.141.282
Belarus,BLR,2009,10.550.957
Belarus,BLR,2010,90.671.005
Belarus,BLR,2011,9.870.365
Belarus,BLR,2012,12.114.088
Belarus,BLR,2013,914.275
Belarus,BLR,2014,9.314.555
Belarus,BLR,2015,7.847.294
Belarus,BLR,2016,84.347.984
Belarus,BLR,2017,83.869.354
Belarus,BLR,2018,97.498.085
Belarus,BLR,2019,9.936.329
Belarus,BLR,2020,956.899
Belarus,BLR,2021,9.080.558
Belarus,BLR,2022,86.813.835
Belgium,BEL,1965,18.846.475
Belgium,BEL,1966,1.922.603
Belgium,BEL,1967,21.203.163
Belgium,BEL,1968,24.615.921
